(0)number, (1)prod_id,(2)prod_name,(3)prod_descr,(4)source,(5)img_path,(6)my_img_path,(7)price,(8)in_stock, (9)needed_stock, (10)location
16,am-2676,Blue Bumper Material :  161in x 19.5in (+/- 0.25in),BLUE nylon bumper material. Each piece is 161 x 19.5 inches :  enough to cover the entire perimeter of your FRC robot. The material is heavy-duty nylon cloth :  much like the material used on backpacks...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/blue-bumper-material-161in-x-19-5in-0-25in/am_2676/5bd497ea61a10d27d2433477/large_thumb.jpg?c=1540659178,AndyMark/am-2676.jpg,19.0,0.0,0.0,null
17,ftc-2013,FTC 2019 GOLD Mineral,These cubes are the official gold mineral for the 2018-2019 FIRST Tech Challenge game :  Rover Ruckus!Weight: 0.114lbsWidth :  Height :  Length: Tapered Between 2.005 inch :  1.965 inchMaterial: Polypropyl...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/ftc-2019-gold-mineral/5be9d20261a10d63f32cb860/large_thumb.jpg?c=1542050306,AndyMark/ftc-2013.jpg,0.5,0.0,0.0,null
18,am-2675,Red Bumper Material :  161in x 19.5in (+/- 0.25in),RED nylon bumper material. Each piece is 161 x 19.5 inches :  enough to cover the entire perimeter of your FRC robot. The material is heavy-duty nylon cloth :  much like the material used on backpacks....Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/red-bumper-material-161in-x-19-5in-0-25in/am_2675/5bd497e961a10d27d2433476/large_thumb.jpg?c=1540659177,AndyMark/am-2675.jpg,19.0,0.0,0.0,null
19,am-2850,FTC 2019 SILVER Mineral,Product Overview: The official silver mineral for the 2018-2019 FIRST Tech Challenge game :  Rover Ruckus!,1,https://andymark-weblinc.netdna-ssl.com/product_images/ftc-2019-silver-mineral/5bca1d9f61a10d0e958b7c3c/large_thumb.jpg?c=1539972511,AndyMark/am-2850.jpg,1.0,0.0,0.0,null
20,am-2609a,Wheel Conversion Plate,This conversion plate acts as a hub between larger motion components featuring a 1.875" bolt circle to components of a smaller mounting circle such as a NeveRest Gearmotor. The bore of this plate f...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/wheel-conversion-plate/am_2609a/5bd497e261a10d27d2433463/large_thumb.jpg?c=1540659170,AndyMark/am-2609a.jpg,5.5,0.0,0.0,null
21,am-3926,Encoder Cable for NeveRest Motor to REV Expansi...,This is the cable designed for the encoder that is pre-attached to the NeveRest Series of motors and gearmotors. It has a connector on the opposite end to directly interface between the NeveRest en...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/encoder-cable-for-neverest-motor-to-rev-expansion-hub/5bca2b2d61a10d0ea88b78c0/large_thumb.jpg?c=1539975981,AndyMark/am-3926.jpg,4.0,0.0,0.0,null
22,AM_NOID_1,Soft Tiles for FIRST Tech Challenge Field,Soft Tiles are 2' x 2' gray floor mats that are used on the FIRST Tech Challenge (am-0481a) playing field. These tiles have easy to cut edges and interlocking features for quick and easy setu...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/soft-tiles-for-first-tech-challenge-field-options/5bdc4b5261a10d06c843d1aa/large_thumb.jpg?c=1541163858,AndyMark/AM_NOID_1.jpg,0.0,0.0,0.0,null
23,am-0282,120 Amp Breaker,This is the 120 Amp Circuit breaker for FIRST Robotics Competition robots. This product protects your robot or other system from drawing too much current. Of course :  we highly recommend using circu...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/120-amp-breaker/am_0282/5bd3e2f661a10d27d2433225/large_thumb.jpg?c=1540612854,AndyMark/am-0282.jpg,30.0,0.0,0.0,null
24,am-3890_PGS,Rover Ruckus Partial Game Set,Finally :  there is a moon landing replica that you can own yourself. No need to save millions of dollars to go to the moon and collect a bunch of rocks :  only to hope that the re-entry to earth doesn...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/rover-ruckus-partial-game-set/5bd8c5db61a10d595ca53513/large_thumb.jpg?c=1540933083,AndyMark/am-3890_PGS.jpg,340.0,0.0,0.0,null
25,am-3775,AndyMark 775 RedLine Motor,We give you the AndyMark 775 RedLine Motor. A fast and fierce 775-class motor that FRC teams know and love :  capable of delivering immense power in a small :  lightweight package. This ball-bearing su...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/andymark-775-redline-motor/5bd8a9be61a10d5948a5345c/large_thumb.jpg?c=1540925886,AndyMark/am-3775.jpg,18.0,0.0,0.0,null
26,am-0033,Retaining Ring :  8mm id,This retainer clip is used to hold objects (such as gears) in place on shafts. This product can be used to hold a gear onto a CIM motor shaft.,1,https://andymark-weblinc.netdna-ssl.com/product_images/retaining-ring-8mm-id/am_0033/5bd3e2d561a10d27d24331c2/large_thumb.jpg?c=1540612821,AndyMark/am-0033.jpg,0.25,0.0,0.0,null
27,am-0288,40 Amp Snap Action Breaker,40 Amp Circuit Breaker :  MAXI style connection :  and automatically resets.Check out the datasheet for more details about when the breaker trips (it depends on current load and duration).,1,https://andymark-weblinc.netdna-ssl.com/product_images/40-amp-snap-action-breaker/am_0288/5bd3e2f661a10d27d2433227/large_thumb.jpg?c=1540612854,AndyMark/am-0288.jpg,7.0,0.0,0.0,null
28,am-2912,Powerpole Kit PP45 (100 Red/100 Black Housings : ...,This is a kit of loose Anderson Power Products (APP) Powerpole (model PP45) connector hardware :  aimed at providing a robot builder some tools to make dis-connectable cables and wires. This kit cont...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/powerpole-kit-pp45-100-red-100-black-housings-200-contacts/5bd3483761a10d293f9643af/large_thumb.jpg?c=1540573239,AndyMark/am-2912.jpg,139.0,0.0,0.0,null
29,am-2649,Clippard Air Tank :  574 ml :  plastic :  with Push C...,Please Note: If you have received a faulty air tank (damaged push to connect fittings) please contact Scott Lamb of Clippard Technical Sales at (513)-521-4445 (ext 1213). This is a plastic...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/clippard-air-tank-574-ml-plastic-with-push-connect-fittings/am_2649/5bd497e861a10d27d2433471/large_thumb.jpg?c=1540659176,AndyMark/am-2649.jpg,14.0,0.0,0.0,null
30,am-0290,30 Amp Snap Action Breaker,30 Amp Circuit Breaker :  MAXI style connection :  and automatically resets.Check out the datasheet for more details about when the breaker trips (it depends on current load and duration).,1,https://andymark-weblinc.netdna-ssl.com/product_images/30-amp-snap-action-breaker/am_0290/5bd3e2f761a10d27d2433229/large_thumb.jpg?c=1540612855,AndyMark/am-0290.jpg,6.0,0.0,0.0,null
31,AM_NOID_2,1/2 in. Churro :  Different Lengths,Churro is a versatile extruded aluminum hex profile. The outside of this part is a 1/2 in. hex with small concave dimples which act as weight savings. There is an inside hole is sized at 0.2 in. in...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/1-2-in-churro-different-length/5bd863aa61a10d12e6133f40/large_thumb.jpg?c=1540907946,AndyMark/AM_NOID_2.jpg,0.0,0.0,0.0,null
32,am-3644,NeveRest Sport - 256:1 w/ Nub Output,This gearbox has a gear ratio of 256:1 with a nub output. The shaft and gears are robust :  machined steel components designed to withstand many times more power than a NeveRest motor will supply...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/neverest-sport-256-1-w-nub-output/5bd8a42c61a10d5935a53633/large_thumb.jpg?c=1540924460,AndyMark/am-3644.jpg,77.5,0.0,0.0,null
33,am-2568,500EX Hex Hub,This is the "500EX Hex Hub" the bore is a 1/2" Hex Hole. It is a slightly different version of the 500 Hex Hub. It is manufactured differently :  as it is extruded. Also :  there is a 1.124" diameter b...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/500ex-hex-hub/am_2568/5bd497dc61a10d27d243344c/large_thumb.jpg?c=1540659164,AndyMark/am-2568.jpg,10.0,0.0,0.0,null
34,am-0009,6 Gauge Battery Cable :  12 inch,Tip-to-tip length is approximately 12.6 inches. Want it longer or shorter? We offer this cable in custom lengths! Both end connectors are crimped with a 6-ton pneumatic crimping tool.Made in the U...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/6-gauge-battery-cable/am_0009/5bd3e2d061a10d27d24331b1/large_thumb.jpg?c=1540612816,AndyMark/am-0009.jpg,17.0,0.0,0.0,null
35,am-2026,Battery Charger :  3 Bank :  6 Amp :  Dual Pro RS3 wi...,Dual Pro Recreation Series (RS3) 6Ah x 3 bank Battery Charger This charger is a great tool for competition robotics teams and hobbyists using Lead Acid batteries. Dual Pro chargers charge batte...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/battery-charger-3-bank-6-amp-dual-pro-rs3-with-sb-50a-connectors/am_2026/5bd4979661a10d27d2433368/large_thumb.jpg?c=1540659094,AndyMark/am-2026.jpg,205.0,0.0,0.0,null
36,am-3919,4 in. HD Mecanum 8 mm Bore :  Wheel Set,Product Overview:4 inch :  HEAVY DUTY Mecanum wheel set :  these come assembled as shown in the picture. This is a set of 4 wheels :  consisting of 2 "right" wheels and 2 "left" wheels. All 4 wheels are ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/4-in-hd-mecanum-8-mm-bore-wheel-set/5bca283261a10d0ea88b788a/large_thumb.jpg?c=1539975218,AndyMark/am-3919.jpg,225.0,0.0,0.0,null
37,am-0904,12 gauge red black bonded wire :  25ft length,This is 12 GA bonded wire* with Red and Black Jacketing. It is much easier to use than two separate wires :  easier to follow during troubleshooting :  and easier to keep your wiring clean. Pull apart ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/12-gauge-red-black-bonded-wire-25ft-length/am_0904/5bd3e31f61a10d27d24332a6/large_thumb.jpg?c=1540612895,AndyMark/am-0904.jpg,24.0,0.0,0.0,null
38,am-3132,E4T OEM Miniature Optical Encoder Kit,Product Overview: The E4T miniature optical encoder provides digital quadrature encoder feedback for high volume :  limited space applications. The E4T is designed to be a drop in replacement for the...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/e4t-oem-miniature-optical-encoder-kit/5bd3605961a10d295496442b/large_thumb.jpg?c=1540579417,AndyMark/am-3132.jpg,42.0,0.0,0.0,null
39,am-3732,Anderson PowerPole to JST VH,Use the Anderson Power Pole to 2-pin JST VH Adapter Cable to connect your existing motors to the REV Robotics Expansion Hub. Connections: JST VH Anderson Power Pole,1,https://andymark-weblinc.netdna-ssl.com/product_images/anderson-powerpole-to-jst-vh/5bd8a92b61a10d5948a53434/large_thumb.jpg?c=1540925739,AndyMark/am-3732.jpg,3.5,0.0,0.0,null
40,am-0370,#25 Single Strand-Riveted Roller Chain :  10',Material: Steel Specifications: ASME/ANSI B29.1 Style: Riveted - Single StrandLength: 10' Type: Roller Chain Size: #25 Pitch: 1/4" Weight: 1.014 lbs,1,https://andymark-weblinc.netdna-ssl.com/product_images/25-single-strand-riveted-roller-chain-10/am_0370/5bd3e2fc61a10d27d2433237/large_thumb.jpg?c=1540612860,AndyMark/am-0370.jpg,12.0,0.0,0.0,null
41,AM_NOID_1,6mm D Shaft,This 6mm shaft is the same as the shaft found in the popular NeveRest series gearboxes. This high strength shaft is great for FTC teams looking for more options in design and contstruction.,1,https://andymark-weblinc.netdna-ssl.com/product_images/6mm-d-shaft-options/5bdc4ed661a10d06c843d2d3/large_thumb.jpg?c=1541164758,AndyMark/AM_NOID_1.jpg,0.0,0.0,0.0,null
42,am-2617,Data Cable for Talon SRX & HERO :  6 in.,This 6" long cable is designed specifically for the 2x5 pin data port on the Talon SRX to provide external inputs. It can be used to connect the Talon SRX to feedback devices such as potentiometers...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/data-cable-for-talon-srx-hero-6-in/am_2617/5bd497e361a10d27d2433464/large_thumb.jpg?c=1540659171,AndyMark/am-2617.jpg,3.25,0.0,0.0,null
43,am-3104,NeveRest Classic Motor ONLY,This is ONLY the motor that is featured in the NeveRest Classic Series gearmotors. This motor has a helical pinion gear pre-installed that interfaces with all our NeveRest Classic gearboxes. Unless...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/neverest-classic-motor-only/5bd35e4361a10d29549643e5/large_thumb.jpg?c=1540578883,AndyMark/am-3104.jpg,18.0,0.0,0.0,null
44,am-2633,Talon SRX Encoder Breakout Board,This breakout board makes wiring a quadrature encoder or a limit switch to the Talon SRX quick and easy. When connected to the Talon SRX through a ribbon cable  :  the breakout board provides solder ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/talon-srx-encoder-breakout-board/5bd329b561a10d292c964331/large_thumb.jpg?c=1540659173,AndyMark/am-2633.jpg,10.0,0.0,0.0,null
45,am-0970,8 in. Pneumatic Wheel,Product Overview: Here is a high-traction wheel which includes a grippy rubber tire :  an pneumatic inner tube :  and a strong plastic hub. These parts are shipped to you in kit form. The unique as...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/8-in-pneumatic-wheel/am_0970/5bd3e32b61a10d27d24332c7/large_thumb.jpg?c=1540612907,AndyMark/am-0970.jpg,37.0,0.0,0.0,null
46,am-0805,Compression Lug Connector :  6 gauge :  1/4 stud ho...,This is a heavy-duty compression lug from BURNDY. This compression log can be easily crimped with the PRO-CRIMP Crimp Tool (am-3326).,1,https://andymark-weblinc.netdna-ssl.com/product_images/compression-lug-connector-6-gauge-1-4-stud-hole-burndy-yazv6ctc14fx/am_0805/5bd3e31861a10d27d243328e/large_thumb.jpg?c=1540612888,AndyMark/am-0805.jpg,1.5,0.0,0.0,null
47,am-3071,CAN Bus Wire :  10ft,This is a twisted pair of 20 AWG (gauge) wire :  packaged within a plastic cable jacket. This cable is designed to be used as a CAN Bus cable.,1,https://andymark-weblinc.netdna-ssl.com/product_images/can-bus-cable-10ft/5bd35a6661a10d295496434a/large_thumb.jpg?c=1540577894,AndyMark/am-3071.jpg,10.0,0.0,0.0,null
48,am-3890_Tape,FIRST Tech Challenge Field Tape Set,This tape set includes two rolls of gaffers tape :  one Blue (am-2947) and one Red (am-2946). Gaffers Tape is a strong :  tough :  cotton cloth pressure-sensitive tape with strong adhesive properties. It...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/tape-set/5bca268c61a10d0ea88b7842/large_thumb.jpg?c=1539974796,AndyMark/am-3890_Tape.jpg,42.0,0.0,0.0,null
49,AM_NOID_2,Aluminum Hex Shaft Stock :  1/2 in. width :  7075 :  ...,Do you have a hard time finding high strength aluminum hex stock? We have it! This is 7075 series aluminum :  which is great for use in transmission shafts.,1,https://andymark-weblinc.netdna-ssl.com/product_images/aluminum-hex-shaft-stock-1-2-in-width-7075-1-3-or-6-options/am_2291/5bd497b761a10d27d24333db/large_thumb.jpg?c=1540659127,AndyMark/AM_NOID_2.jpg,0.0,0.0,0.0,null
50,am-0371,#25 Connecting Link for Roller Chain,Specifications: Material: Steel Style: Roller Chain - Spring Clip Type: Connecting Link or Master LinkSize: #25 Pitch: 0.250"Weight: 0.01 lbs.,1,https://andymark-weblinc.netdna-ssl.com/product_images/25-connecting-link-for-roller-chain/am_0371/5bd3e2fc61a10d27d2433238/large_thumb.jpg?c=1540612860,AndyMark/am-0371.jpg,1.0,0.0,0.0,null
51,am-3443a,6 mm D-Bore Single Boss Nub w/Set Screw,The nub is a series of hubs intended to connect motion components to spinning shafts :  like sprockets gears :  pulleys and wheels. It supports the output shaft of the AndyMark NeveRest motors as well ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/6-mm-d-bore-single-boss-nub-w-set-screw/5bd89b5e61a10d5915a536b9/large_thumb.jpg?c=1540922206,AndyMark/am-3443a.jpg,5.5,0.0,0.0,null
52,am-1165,10-24x3/4 Thread Forming Screw [Qty-50],This is a Trilobe :  thread forming :  or thread rolling screw :  ideal for applications where the screw is being threaded into plastic or metal. A flat washer is part of the 5/16 hex head :  providing ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/10-24x3-4-thread-forming-screw-qty-50/am_1165/5bd3e33d61a10d27d2433308/large_thumb.jpg?c=1540612925,AndyMark/am-1165.jpg,8.5,0.0,0.0,null
53,am-1121,2x2x10 mm Machine Key :  steel,Machine Key :  steel. Used in 2.5" CIM Motor shafts.,1,https://andymark-weblinc.netdna-ssl.com/product_images/2x2x10-mm-machine-key-steel/am_1121/5bd3e33a61a10d27d24332fe/large_thumb.jpg?c=1540612922,AndyMark/am-1121.jpg,0.7,0.0,0.0,null
54,am-0028,3/8 in. id Flanged :  Shielded Ball Bearing (FR6ZZ),The Sheilded Ball Bearing is a great way to make things spin fast!,1,https://andymark-weblinc.netdna-ssl.com/product_images/3-8-in-id-flanged-shielded-ball-bearing-fr6zz/am_0028/5bd3e2d461a10d27d24331be/large_thumb.jpg?c=1540612820,AndyMark/am-0028.jpg,3.0,0.0,0.0,null
55,am-2626,4 in. Standard Mecanum :  Wheel Set,This is a set of four AndyMark Mecanum wheels :  sold in unassembled kits. All four wheels use the same parts :  you just assemble them in different configurations to create two left-handed and two rig...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/4-in-standard-mecanum-wheel-set/5bd3299861a10d292c96432a/large_thumb.jpg?c=1540565400,AndyMark/am-2626.jpg,89.0,0.0,0.0,null
56,am-2005,Viair Air Compressor :  0.88 cfm,VIAIR 90C compressor (air pump) offers a light duty solution for smaller air requirements. These compact compressors and are meant to fill no larger than a 1.0 gallon air tank. These products are u...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/air-compressor-12-volt-0-88-cfm/5bd31b0e61a10d2918964441/large_thumb.jpg?c=1540659090,AndyMark/am-2005.jpg,69.0,0.0,0.0,null
57,am-3314a,CIMcoder,This encoder mounts to the nose of a CIM Motor and senses the rotations of the CIM Motor output shaft. A housing :  mounted to the CIM Motor :  protects the encoder circuitry while a collet spins with ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/cimcoder/5bd3790061a10d2967964444/large_thumb.jpg?c=1540585728,AndyMark/am-3314a.jpg,42.0,0.0,0.0,null
58,am-0030,1/2 in. id Flanged :  Shielded Ball Bearing (FR8ZZ),,1,https://andymark-weblinc.netdna-ssl.com/product_images/1-2-in-id-flanged-shielded-ball-bearing-fr8zz/am_0030/5bd3e2d561a10d27d24331c0/large_thumb.jpg?c=1540612821,AndyMark/am-0030.jpg,3.0,0.0,0.0,null
59,am-3445,SRX Magnetic Encoder,The SRX Mag Encoder is a rotary sensor that can be used to measure rotational position and velocity. The device senses the magnetic field of a diametrically polarized magnet to determine rotational...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/srx-magnetic-encoder/5bd89b6e61a10d5935a5341b/large_thumb.jpg?c=1540922222,AndyMark/am-3445.jpg,40.0,0.0,0.0,null
60,am-3480_green,4 in. Compliant Wheel :  1/2 in. Hex Bore :  35A Du...,,1,https://andymark-weblinc.netdna-ssl.com/product_images/4-in-compliant-wheel-1-2-in-hex-bore-35a-durometer/5bd89f4461a10d5935a5352b/large_thumb.jpg?c=1540923204,AndyMark/am-3480_green.jpg,8.0,0.0,0.0,null
61,am-3824_4,BattHawk :  Pack of 4,The BattHawk is designed and manufactured by Muncie/Delaware Robotics :  FRC Team 1720 :  PhyXTGears. BattHawk is a voltmeter which can take the place of a battery flag. It measures the battery voltage...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/batthawk-pack-of-4/5bdc4f2561a10d06db43d0fe/large_thumb.jpg?c=1541164837,AndyMark/am-3824_4.jpg,39.0,0.0,0.0,null
62,am-3643,NeveRest Sport - 104:1 w/ Nub Output,This gearbox has a gear ratio of 104:1 with a nub output. The shaft and gears are robust :  machined steel components designed to withstand many times more power than a NeveRest motor will supply...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/neverest-sport-104-1-w-nub-output/5bd8a41a61a10d5935a5362e/large_thumb.jpg?c=1540924442,AndyMark/am-3643.jpg,67.0,0.0,0.0,null
63,am-3227,1.1 Pump :  12V,The AndyMark 1.1 Pump is an air compressor with a maximum flow rate of 1.1 CFM (cubic feet per minute). This is specified and designed to be used on medium-sized mobile robots. This compressor quic...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/1-1-pump-12v/5bd36e3961a10d29549645db/large_thumb.jpg?c=1540582969,AndyMark/am-3227.jpg,75.0,0.0,0.0,null
64,am-0682,#25 Half Link for Roller Chain,#25 half link,1,https://andymark-weblinc.netdna-ssl.com/product_images/25-half-link-for-roller-chain/am_0682/5bd3e30f61a10d27d2433272/large_thumb.jpg?c=1540612879,AndyMark/am-0682.jpg,2.0,0.0,0.0,null
65,am-0481a,FIRST Tech Challenge Field Perimeter Kit,This is the official Field Perimeter Kit for the FIRST Tech Challenge. This field may be referenced as am-0481 in your Field Build Guide. These part numbers represent the same field kit. It is reus...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/first-tech-challenge-perimeter-field-kit/am_0481a/5bd3e30361a10d27d243324d/large_thumb.jpg?c=1540612867,AndyMark/am-0481a.jpg,618.0,0.0,0.0,null
66,am-3217,REV Smart Robot Servo,The REV Robotics Smart Robot Servo (SRS) is configurable metal-geared servo that takes the guesswork out of aligning and adjusting servo based mechanisms. One SRS can be used as a standard angular ...Read More,1,https://andymark-weblinc.netdna-ssl.com/product_images/rev-smart-robot-servo/5bd36d0361a10d29549645aa/large_thumb.jpg?c=1540582659,AndyMark/am-3217.jpg,30.0,0.0,0.0,null
